id,type,source,question,ideal_answer,generated_answer,retrieved_context,latency_s,prompt_tokens,completion_tokens,tokens_used,embedding_model,llm_model,cost_per_query_usd,gpu_hourly_rate_usd,equivalent_api_cost_usd
Q022,deterministic,guides/subscriptions_guide.md; guides/pagination_advanced.md; reference/rate_limits.md,How many concurrent connections does the Pro plan support?,50 concurrent connections,The Pro plan supports 50 concurrent connections.,"[""| Plan       | Requests/min | Requests/day | Concurrent connections | Webhook endpoints |\n|------------|-------------|--------------|----------------------|-------------------|\n| Free       | 60          | 1,000        | 5                    | 2                 |\n| Starter    | 300         | 10,000       | 20                   | 10                |\n| Pro        | 1,000       | 100,000      | 50                   | 50                |\n| Enterprise | 10,000      | Unlimited    | 500                  | Unlimited         |"", ""{\n  \""name\"": \""Pro Monthly\"",\n  \""amount\"": 2900,\n  \""currency\"": \""EUR\"",\n  \""interval\"": \""month\"",\n  \""interval_count\"": 1,\n  \""description\"": \""NexusApp Pro plan — billed monthly\""\n}\n```"", ""**Response:**\n```json\n{\n  \""id\"": \""plan_01HXYZ2222222222\"",\n  \""name\"": \""Pro Monthly\"",\n  \""amount\"": 2900,\n  \""currency\"": \""EUR\"",\n  \""interval\"": \""month\"",\n  \""interval_count\"": 1,\n  \""created_at\"": \""2025-06-01T00:00:00Z\""\n}\n```"", ""**Caution:** Parallel requests multiply your rate limit consumption proportionally. With 7 concurrent currency paginations, each page of results is 7 requests counted against your quota simultaneously. Monitor `X-RateLimit-Remaining` carefully or limit concurrency."", ""Regardless of plan, a single IP address is limited to 5,000 requests/minute across all API keys. This limit cannot be increased.""]",0.41,526,11,537,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,7.933e-05,0.6966,0.0
Q023,deterministic,reference/error_codes.md; guides/error_handling_guide.md; guides/webhooks_guide.md; reference/rate_limits.md,What HTTP status code is returned when a resource is not found?,HTTP 404,HTTP status code 404 is returned when a resource is not found.,"[""| HTTP Status | Meaning                                      |\n|-------------|----------------------------------------------|\n| 200         | Success                                      |\n| 201         | Resource created                             |\n| 400         | Bad request — invalid parameters             |\n| 401         | Unauthorized — invalid or missing API key    |\n| 403         | Forbidden — insufficient permissions         |\n| 404         | Resource not found                           |\n| 409         | Conflict — duplicate idempotency key         |\n| 422         | Unprocessable — business logic error         |\n| 429         | Rate limit exceeded                          |\n| 500         | Internal server error                        |\n| 503         | Service temporarily unavailable              |"", ""When the limit is exceeded, the API returns HTTP 429 with:"", ""Your endpoint must return an HTTP `200` status code to acknowledge successful receipt. Any other status code (including `201`, `202`, `4xx`, or `5xx`) causes NexusPay to treat the delivery as failed and schedule a retry."", ""| HTTP Status | Error Code | Notes |\n|-------------|------------|-------|\n| 429 | `rate_limit_exceeded` | Respect the `retry_after` header |\n| 500 | `internal_server_error` | NexusPay server error — safe to retry |\n| 502 | `bad_gateway` | Upstream infrastructure error |\n| 503 | `service_unavailable` | Temporary unavailability — retry with backoff |\n| 504 | `gateway_timeout` | Request timed out upstream |"", ""| HTTP Status | Error Code | Reason |\n|-------------|------------|--------|\n| 400 | `invalid_request` | Malformed request — fix the payload |\n| 400 | `amount_too_small` | Below minimum — adjust the amount |\n| 402 | `card_declined` | Issuer declined — prompt customer to use a different card |\n| 402 | `expired_card` | Card expired — customer must update card details |\n| 402 | `insufficient_funds` | Not enough funds — customer must resolve with their bank |\n| 402 | `do_not_honor` | Issuer blocked the transaction — do not retry |\n| 404 | `not_found` | Resource does not exist — check the ID |\n| 409 | `idempotency_key_mismatch` | Key reused with different parameters — use a new key |""]",0.697,707,17,724,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00013487,0.6966,0.0
Q024,deterministic,guides/going_live_checklist.md; reference/endpoints.md; guides/webhooks_guide.md; reference/rate_limits.md,What is the maximum URL length for a webhook endpoint?,2048 characters,The maximum length for a webhook endpoint URL is 2048 characters.,"[""Webhook endpoint URLs have a maximum length of **2048 characters**. Register your endpoint in the Dashboard under **Developers → Webhooks**, or via the API:"", ""- [ ] **HTTPS endpoint only**: Your production webhook URL must use HTTPS. HTTP endpoints are rejected. The URL must not exceed **2048 characters**.\n- [ ] **Signature verification implemented**: Every incoming webhook must have its HMAC-SHA256 signature verified before being processed. See `docs/guides/webhooks_guide.md`.\n- [ ] **Timestamp validation active**: Reject webhook events with an `X-NexusPay-Timestamp` more than 5 minutes old to prevent replay attacks.\n- [ ] **Live webhook secret configured**: The sandbox and production webhook secrets are different. Reconfigure your application to use the live webhook secret retrieved from the Dashboard.\n- [ ] **Idempotent webhook handlers**: Your handlers correctly deduplicate events by persisting processed event IDs."", ""| Plan       | Requests/min | Requests/day | Concurrent connections | Webhook endpoints |\n|------------|-------------|--------------|----------------------|-------------------|\n| Free       | 60          | 1,000        | 5                    | 2                 |\n| Starter    | 300         | 10,000       | 20                   | 10                |\n| Pro        | 1,000       | 100,000      | 50                   | 50                |\n| Enterprise | 10,000      | Unlimited    | 500                  | Unlimited         |"", ""| Parameter | Type     | Required | Description                        |\n|-----------|----------|----------|------------------------------------|\n| url       | string   | Yes      | HTTPS only. Max 2048 characters    |\n| events    | string[] | Yes      | List of event types to subscribe   |\n| secret    | string   | No       | Auto-generated if not provided     |"", ""Two headers are included with every webhook request:""]",0.622,564,17,581,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00012036,0.6966,0.0
Q025,deterministic,reference/endpoints.md; guides/auth_capture_flow.md,What error code is returned when the capture window has expired?,capture_window_expired,The error code returned when the capture window has expired is `authorization_expired`.,"[""| Error code | Cause | Resolution |\n|------------|-------|------------|\n| `authorization_expired` | Attempted capture after the 7-day window | Create a new authorization |\n| `authorization_already_captured` | Payment already captured | No action needed; check payment status |\n| `invalid_capture_amount` | Capture amount exceeds authorized amount | Capture equal to or less than the original amount |"", ""If `status` is `expired`, the authorization has lapsed and cannot be captured."", ""The `capture_before` timestamp indicates the deadline by which you must capture. Authorizations expire after **7 days**. After expiry, the hold is automatically released and the funds return to the customer — you cannot capture an expired authorization."", ""### POST /payments/:id/capture\nCapture an authorized payment. Only valid if `capture: false` was set on creation. Must be called within **7 days** of authorization."", ""```\nDay 0     Day 1     Day 3     Day 7 (deadline)\n  |---------|---------|---------|\n  ^                   ^         ^\n  Authorize        Capture    Expires\n  (status:        (status:   (auto-released)\n  authorized)    succeeded)\n```""]",0.57,392,17,409,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00011029,0.6966,0.0
Q026,semantic,reference/authentication.md; guides/security_guide.md; guides/payments_flow.md; reference/architecture_overview.md,What is the difference between a secret key and a publishable key?,Secret keys have full API access and must be stored server-side. Publishable keys are read-only and safe for frontend use — they can tokenize payment methods but cannot create payments directly.,"The differences between a secret key and a publishable key are as follows:

*   **Publishable Key:**
    *   **Usage:** Used for read operations and tokenizing card data/payment methods [1, 2, 3]. It cannot create a payment directly [1].
    *   **Placement:** Safe to embed in frontend JavaScript, mobile apps, or browser code [1, 2, 4].
    *   **Visibility:** Safe by design to be visible to end users [4].
    *   **Prefixes:** `pk_live_` (Live environment) or `pk_test_` (Sandbox environment) [3, 4, 5].

*   **Secret Key:**
    *   **Usage:** Used to create and manage payments and provides full access [2, 3].
    *   **Placement:** Must be used in the backend only [2, 4].
    *   **Visibility:** Must never be exposed in client-side code, public repositories, or leave the backend [2, 3, 4].
    *   **Prefixes:** `sk_live_` (Live environment) or `sk_test_` (Sandbox environment) [3, 4, 5].","[""**Publishable keys** are limited to read operations and payment method tokenization. They are safe to embed in frontend JavaScript or mobile apps. A publishable key cannot create a payment directly — it can only create a payment method token, which your server then uses with the secret key."", ""- **Publishable key** — safe to embed in frontend code; used only to tokenize card data.\n- **Secret key** — must never leave your backend; used to create and manage payments."", ""- **Secret keys** (`sk_live_...` or `sk_test_...`): Full access. Never expose in client-side code or public repositories.\n- **Publishable keys** (`pk_live_...` or `pk_test_...`): Read-only, safe for frontend use. Can tokenize payment methods."", ""| Key Type | Prefix | Where to use | Who can see it |\n|----------|--------|--------------|----------------|\n| Publishable key | `pk_live_` / `pk_test_` | Frontend (browser/app) | Visible to end users — safe by design |\n| Secret key | `sk_live_` / `sk_test_` | Backend only | **Must never be exposed** |"", ""| Prefix        | Type        | Environment |\n|---------------|-------------|-------------|\n| `sk_live_`    | Secret key  | Live        |\n| `sk_test_`    | Secret key  | Sandbox     |\n| `pk_live_`    | Publishable | Live        |\n| `pk_test_`    | Publishable | Sandbox     |""]",6.843,469,268,737,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00132412,0.6966,0.0
Q027,semantic,guides/metadata_guide.md; reference/pagination_filtering.md; guides/api_versioning.md; guides/pagination_advanced.md,Why does NexusPay use cursor-based pagination instead of offset pagination?,Offset pagination has a problem with real-time data: new items shift positions causing duplicates or skipped items. Cursor pagination avoids this by tracking exact position.,"NexusPay uses cursor-based pagination because it is more reliable than offset pagination for real-time data and large datasets [1]. Specifically, offset pagination has a fundamental problem with real-time data where the creation of a new item between requests can cause items to shift positions, leading to skipped items or duplicates—an issue that cursor pagination avoids entirely [3].","[""All list endpoints in NexusPay use cursor-based pagination. This approach is more reliable than offset pagination for large datasets and real-time data."", ""NexusPay uses cursor-based pagination across all list endpoints. This guide covers patterns for fetching all records in a loop, terminating iteration correctly, staying within rate limits during bulk fetches, and running parallel paginated queries."", ""Offset pagination (`?page=2&per_page=10`) has a fundamental problem with real-time data: if a new payment is created between your first and second request, every item shifts by one position, causing duplicates or skipped items. Cursor pagination avoids this entirely."", ""### 1. Pagination: Cursor-Based Replaces Offset-Based"", ""This is particularly useful for support tooling and reconciliation scripts that need to look up a payment by your own internal reference rather than the NexusPay payment ID.""]",1.89,304,73,377,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00036571,0.6966,0.0
Q028,semantic,guides/auth_capture_flow.md; guides/testing_guide.md; reference/architecture_overview.md,How does the authorization and capture flow work?,"By default, POST /payments authorizes and captures in one step. Setting capture: false authorizes only, holding funds for up to 7 days. You then call POST /payments/:id/capture to complete.","The authorization and capture flow works by separating the payment process into two steps:

*   **Authorization:** By setting `capture: false` during the `POST /payments` request, you authorize the payment only. This places a hold on the customer's funds without immediately settling the charge [2, 4]. This hold lasts for up to 7 days, after which it expires automatically [2]. This pattern is commonly used in industries where the final charge amount is unknown at the time of booking, or for marketplaces and delayed fulfillment [2, 5].
*   **Capture:** Once the final amount is known, you capture the authorization [3]. You can capture either the full authorized amount or a lesser amount, but you cannot capture more than what was originally authorized [3].","[""To test authorization and capture flows, create a payment with `capture: false` using any success card. See `docs/guides/auth_capture_flow.md`."", ""**Separation of authorization and capture.** By default, `POST /payments` both authorizes and captures in a single step. For marketplaces and delayed fulfillment, set `capture: false` to authorize only. The authorization holds funds on the customer's card for up to 7 days. After that, the authorization expires automatically."", ""When you know the final amount, capture the authorization. You may capture the full authorized amount or a lesser amount — you cannot capture more than the original authorization."", ""An authorization places a hold on the customer's funds without immediately settling the charge. Use this flow when:"", ""This guide explains how to separate the authorization of a payment from its capture — a common pattern in industries where the final charge amount is not known at the time of booking.""]",4.082,320,161,481,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00078987,0.6966,0.0
Q029,semantic,guides/security_guide.md; reference/architecture_overview.md; guides/webhooks_guide.md; guides/auth_capture_flow.md; guides/payments_flow.md,Can I rely on webhooks as the primary confirmation of a payment?,No. Webhook delivery is asynchronous and can be delayed up to 30 seconds. Always confirm payment status via the API directly.,"No, you should never rely on webhooks as the primary source of truth; you should always confirm payment status via the API.","[""**Eventual consistency for webhooks.** Webhook delivery is asynchronous. After a payment succeeds, the `payment.succeeded` event may arrive at your endpoint within milliseconds or up to 30 seconds later, depending on load. Never rely on webhooks as the primary source of truth — always confirm payment status via the API."", ""Webhooks allow NexusPay to push real-time event notifications to your server when something happens in your account — a payment succeeds, a subscription renews, a dispute is opened, and so on. This guide explains how to receive, verify, and handle webhook events reliably."", ""For most card payments, the `status` in the synchronous API response is definitive. However, for certain payment methods, the outcome may be delivered asynchronously via the `payment.succeeded` or `payment.failed` webhook event. Implement webhook handling as described in `docs/guides/webhooks_guide.md` to handle these cases."", ""See `docs/guides/webhooks_guide.md` for webhook configuration and signature verification."", ""Your webhook endpoint receives signed HTTP POST requests from NexusPay. Without proper security:""]",0.796,361,27,388,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00015403,0.6966,0.0
Q030,semantic,reference/authentication.md; guides/security_guide.md; guides/webhooks_guide.md,How should I rotate API keys without downtime?,"Create the new key, deploy the application with it, then revoke the old key. Revoking is immediate and irreversible.","To rotate API keys without downtime, you can create multiple API keys per account and assign them different permission scopes [1].","[""You can create multiple API keys per account and assign them different permission scopes. This allows you to rotate keys without downtime:"", ""- Never commit API keys to version control. Use environment variables or a secrets manager.\n- Use the principle of least privilege — scope keys to the minimum required operations.\n- Rotate keys every 90 days in high-security environments.\n- Monitor API key usage in the dashboard — unexpected spikes may indicate a compromised key.\n- Use different keys for different environments (development, staging, production)."", ""Establish a regular key rotation schedule as part of your security hygiene, even without a known compromise event."", ""Rotate your secret key immediately if you suspect it has been compromised. In the Dashboard under **Developers → API Keys**, you can issue a new key. After issuing the new key:"", ""Do not perform slow operations (database writes, third-party API calls) synchronously in the webhook handler path. Instead, enqueue the event in an internal job queue and return `200` immediately.""]",0.718,325,25,350,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00013893,0.6966,0.0
Q031,semantic,guides/going_live_checklist.md; guides/idempotency_guide.md; reference/architecture_overview.md,What happens if I submit the same idempotency key twice with different parameters?,The API returns HTTP 409 with error code idempotency_key_mismatch.,"If you submit the same idempotency key twice with different parameters, the API returns an HTTP 409 Conflict error with the error code `idempotency_key_mismatch`.","[""**Idempotency first.** Every write operation accepts an `idempotency_key` parameter. If the same key is submitted twice, the second request returns the result of the first without creating a duplicate. This is critical for payment systems where network failures can cause retries."", ""If you submit an idempotency key that matches a previous request but with different parameters, the API returns HTTP 409 with error code `idempotency_key_mismatch`."", ""{\n  \""error\"": {\n    \""code\"": \""idempotency_key_mismatch\"",\n    \""message\"": \""This idempotency key was previously used with different request parameters. Generate a new key.\""\n  }\n}\n```"", ""If you submit a request with an idempotency key that was previously used for a **different set of request parameters**, NexusPay returns a `409 Conflict` error:"", ""- [ ] **Idempotency keys on all mutations**: Every `POST /payments`, `POST /payments/:id/capture`, and `POST /payments/:id/refunds` request includes a unique `Idempotency-Key` header (UUID v4, max 64 characters). See `docs/guides/idempotency_guide.md`.\n- [ ] **Keys generated before requests**: Idempotency keys are generated and persisted in your database *before* the API call is made, ensuring they survive process crashes.\n- [ ] **Same key on retries**: When retrying a failed request, your code reuses the original idempotency key — it does not generate a new one.""]",1.139,465,39,504,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.0002204,0.6966,0.0
Q032,semantic,reference/pagination_filtering.md; guides/reporting_guide.md; guides/pagination_advanced.md,How do I paginate through all succeeded EUR payments from Q1 2025?,"Use GET /payments with filters status=succeeded, currency=EUR, from=2025-01-01, to=2025-03-31, limit=100. Use the next_cursor from each response as starting_after until has_more is false.","To paginate through up to 100 succeeded EUR payments created in Q1 2025, use the following request:

`GET /payments?status=succeeded&currency=EUR&from=2025-01-01&to=2025-03-31&limit=100`","[""This returns up to 100 succeeded EUR payments created in Q1 2025."", ""```\nGET /payments?status=succeeded&currency=EUR&from=2025-01-01&to=2025-03-31&limit=100\n```"", ""# Example: fetch all EUR payments in June\npayments = fetch_all_payments({\n    \""currency\"": \""EUR\"",\n    \""created_after\"": \""2025-06-01T00:00:00Z\"",\n    \""created_before\"": \""2025-06-30T23:59:59Z\"",\n    \""status\"": \""succeeded\""\n})\n```"", ""**Step 2 — Retrieve individual payments for the same period:**\n```\nGET /payments?created_after=2025-06-01T00:00:00Z&created_before=2025-06-30T23:59:59Z&currency=EUR&status=succeeded\n```"", ""```\nGET /reports/summary?start_date=2025-01-01&end_date=2025-12-31&granularity=month&currency=EUR\n```""]",2.018,428,75,503,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00039048,0.6966,0.0
Q033,semantic,reference/authentication.md; reference/rate_limits.md,What scopes are available for API keys on Pro and Enterprise plans?,"payments:read, payments:write, refunds:write, subscriptions, reports:read, webhooks. Scoped keys are not available on Free or Starter plans.","On Pro and Enterprise plans, API keys can be scoped to specific operations.","[""On Pro and Enterprise plans, API keys can be scoped to specific operations:"", ""Scoped keys are not available on Free or Starter plans — those plans only support full-access keys."", ""You can create multiple API keys per account and assign them different permission scopes. This allows you to rotate keys without downtime:"", ""| Plan       | Requests/min | Requests/day | Concurrent connections | Webhook endpoints |\n|------------|-------------|--------------|----------------------|-------------------|\n| Free       | 60          | 1,000        | 5                    | 2                 |\n| Starter    | 300         | 10,000       | 20                   | 10                |\n| Pro        | 1,000       | 100,000      | 50                   | 50                |\n| Enterprise | 10,000      | Unlimited    | 500                  | Unlimited         |"", ""**Secret keys** have full API access: create payments, issue refunds, manage subscriptions, access reports. They must be stored securely on your server and never exposed to clients.""]",0.526,361,16,377,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00010178,0.6966,0.0
Q034,semantic,reference/authentication.md; guides/multi_currency_guide.md; guides/webhooks_guide.md; reference/architecture_overview.md,How does NexusPay determine which environment a request goes to?,"By the API key prefix, not the URL. Keys starting with sk_test_ route to sandbox, sk_live_ to live — both use the same base URL.","Based on the provided context, there is no information explaining how NexusPay determines which environment a request goes to.","[""NexusPay authenticates requests using API keys passed in the HTTP `Authorization` header."", ""NexusPay is a payment processing API designed for European businesses. It handles the full payment lifecycle: authorization, capture, settlement, refunds, and recurring billing through subscriptions."", ""When an event occurs, NexusPay sends an HTTP POST request to the URL you have configured in the Dashboard or via the Webhooks API. Your endpoint must respond with an HTTP `200` status code within 10 seconds to acknowledge delivery. If it does not, NexusPay retries delivery up to **5 times** using an exponential backoff schedule: 1 minute, 5 minutes, 30 minutes, 2 hours, and 8 hours after the initial attempt."", ""NexusPay uses API keys for authentication. There are two types:"", ""**NexusPay does not perform currency conversion.** The `currency` field you specify in the payment request is the currency in which the customer is charged. NexusPay passes this charge to the card network exactly as submitted.""]",0.665,335,23,358,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00012868,0.6966,0.0
Q035,semantic,reference/endpoints.md; guides/subscriptions_guide.md; guides/customers_guide.md,What happens to active subscriptions if I delete a customer?,Deleting a customer does not cancel their active subscriptions. You must cancel subscriptions explicitly before deleting the customer.,"Deleting a customer does not automatically cancel their active subscriptions [1, 3].","[""**Critical warning:** Deleting a customer object does **not** automatically cancel their active subscriptions. If a customer with active subscriptions is deleted:"", ""**Always cancel all active subscriptions before deleting a customer:**"", ""### GET /customers/:id\n### PUT /customers/:id\n### DELETE /customers/:id\nDeleting a customer does not cancel active subscriptions — cancel subscriptions first."", ""```python\ndef delete_customer_safely(customer_id: str):\n    subscriptions = nexuspay.subscriptions.list(customer_id=customer_id, status=\""active\"")\n    for sub in subscriptions.data:\n        nexuspay.subscriptions.cancel(sub[\""id\""])"", ""```json\nDELETE /subscriptions/sub_01HXYZ4444444444\n```""]",0.51,285,17,302,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,9.869e-05,0.6966,0.0
Q036,semantic,reference/endpoints.md; guides/subscriptions_guide.md; guides/customers_guide.md,What is the difference between cancel_at_period_end and immediate cancellation for subscriptions?,"Setting cancel_at_period_end: true cancels at the next billing date, allowing the customer to use the service until then. Immediate cancellation stops billing right away.","Based on the provided context, `cancel_at_period_end: true` cancels a subscription at the next billing date [1]. The provided text does not contain information regarding ""immediate cancellation.""","[""### POST /subscriptions/:id/cancel\nCancel a subscription. `cancel_at_period_end: true` cancels at next billing date."", ""The subscription remains `active` until the end of the current billing period, then transitions to `cancelled`:"", ""**Always cancel all active subscriptions before deleting a customer:**"", ""### GET /customers/:id\n### PUT /customers/:id\n### DELETE /customers/:id\nDeleting a customer does not cancel active subscriptions — cancel subscriptions first."", ""**Critical warning:** Deleting a customer object does **not** automatically cancel their active subscriptions. If a customer with active subscriptions is deleted:""]",1.072,254,41,295,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00020743,0.6966,0.0
Q037,semantic,guides/error_handling_guide.md; guides/payments_flow.md,How should I handle a card_declined error?,card_declined means the issuer rejected the payment. The customer should try a different card or contact their bank. Do not retry the same card automatically as it may trigger fraud detection.,"To handle a `card_declined` error, you should:

*   **Do not retry the error**, as repeated attempts may trigger fraud flags at the issuer and worsen the customer's experience.
*   **Use the `decline_code`** to provide a specific message to the customer.
*   **Prompt the customer** to either contact their bank or try a different card.","[""Not all `card_declined` errors are equivalent. Use `decline_code` to provide a specific message to the customer:"", ""```json\n{\n  \""error\"": {\n    \""code\"": \""card_declined\"",\n    \""message\"": \""The card was declined by the issuer.\"",\n    \""decline_code\"": \""insufficient_funds\"",\n    \""request_id\"": \""req_01HXYZ9999999999\""\n  }\n}\n```"", ""**Do not retry `card_declined` errors.** Repeated decline attempts may trigger fraud flags at the issuer and worsen the customer's experience. Instead, prompt the customer to try a different card or contact their bank."", ""```json\n{\n  \""id\"": \""pay_01HXYZ0000000001\"",\n  \""amount\"": 4999,\n  \""currency\"": \""EUR\"",\n  \""status\"": \""failed\"",\n  \""error\"": {\n    \""code\"": \""card_declined\"",\n    \""message\"": \""The card was declined by the issuer.\"",\n    \""decline_code\"": \""insufficient_funds\""\n  }\n}\n```"", ""| `decline_code` | Customer-facing message |\n|----------------|------------------------|\n| `insufficient_funds` | \""Your card has insufficient funds. Please try a different card.\"" |\n| `expired_card` | \""Your card has expired. Please update your payment details.\"" |\n| `do_not_honor` | \""Your bank declined this transaction. Please contact your bank or use a different card.\"" |\n| `lost_card` | \""This transaction cannot be processed. Please contact your bank.\"" |\n| `stolen_card` | \""This transaction cannot be processed. Please contact your bank.\"" |""]",2.303,530,84,614,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00044563,0.6966,0.0
Q038,semantic,reference/authentication.md; guides/security_guide.md; guides/payments_flow.md; reference/architecture_overview.md,What security practices does NexusPay recommend for API keys?,"Use environment variables or a secrets manager, never commit to version control, use least-privilege scopes, rotate every 90 days in high-security environments, monitor for unexpected usage spikes.",NexusPay recommends immediately rotating your API keys via the Dashboard if there is any risk of exposure.,"[""NexusPay uses API keys for authentication. There are two types:"", ""NexusPay authenticates requests using API keys passed in the HTTP `Authorization` header."", ""NexusPay uses a two-key model to keep your server out of PCI scope as much as possible:"", ""1. Immediately rotate your API keys via the Dashboard.\n2. Review your webhook secret and rotate it if there is any risk of exposure.\n3. Contact NexusPay security at security@nexuspay.eu with your account ID and a description of the incident.\n4. Preserve logs and do not delete any potentially relevant data until the investigation is complete."", ""Your webhook endpoint receives signed HTTP POST requests from NexusPay. Without proper security:""]",0.58,265,20,285,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00011223,0.6966,0.0
Q039,semantic,reference/endpoints.md; guides/testing_guide.md; guides/refunds_guide.md; guides/webhooks_guide.md,How does the webhook retry policy work?,"Failed deliveries are retried up to 5 times with exponential backoff: 1 minute, 5 minutes, 30 minutes, 2 hours, 8 hours.","Failed webhook deliveries are retried up to 5 times using exponential backoff: 1min, 5min, 30min, 2h, and 8h.","[""**Retry policy:** Failed webhook deliveries are retried up to **5 times** with exponential backoff: 1min, 5min, 30min, 2h, 8h."", ""Subscribe to the `refund.succeeded` and `refund.failed` webhook events to track settlement asynchronously. Refer to `docs/guides/webhooks_guide.md`."", ""This triggers the renewal charge immediately, firing the appropriate webhook events (`subscription.renewed` or `subscription.payment_failed`)."", ""- [ ] Successful payment creates and stores a payment ID correctly\n- [ ] Declined payment surfaces an appropriate error message to the user\n- [ ] Retry with the same idempotency key returns the original result (not a new payment)\n- [ ] Refund creates correctly and fires `refund.succeeded` webhook\n- [ ] Webhook signature verification rejects tampered payloads\n- [ ] Webhook timestamp check rejects events older than 5 minutes\n- [ ] Duplicate webhook delivery is handled idempotently"", ""Webhooks allow NexusPay to push real-time event notifications to your server when something happens in your account — a payment succeeds, a subscription renews, a dispute is opened, and so on. This guide explains how to receive, verify, and handle webhook events reliably.""]",1.098,384,39,423,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00021246,0.6966,0.0
Q040,semantic,guides/testing_guide.md; guides/webhooks_guide.md; guides/refunds_guide.md; guides/subscriptions_guide.md; guides/customers_guide.md,What webhook event is fired when a subscription billing fails?,subscription.payment_failed,"When a subscription renewal charge fails, the `subscription.payment_failed` webhook event is fired.","[""When a subscription renewal charge fails, NexusPay fires the `subscription.payment_failed` webhook:"", ""This triggers the renewal charge immediately, firing the appropriate webhook events (`subscription.renewed` or `subscription.payment_failed`)."", ""- The subscriptions remain in the `active` or `trialing` state.\n- Renewal charges will fail because the customer record no longer exists.\n- This results in failed subscription payments and `subscription.payment_failed` webhook events."", ""Webhooks allow NexusPay to push real-time event notifications to your server when something happens in your account — a payment succeeds, a subscription renews, a dispute is opened, and so on. This guide explains how to receive, verify, and handle webhook events reliably."", ""Subscribe to the `refund.succeeded` and `refund.failed` webhook events to track settlement asynchronously. Refer to `docs/guides/webhooks_guide.md`.""]",0.616,315,21,336,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.0001192,0.6966,0.0
Q041,semantic,guides/payments_flow.md; guides/metadata_guide.md; guides/security_guide.md; guides/integration_quickstart.md,Where is NexusPay data stored by default?,"EU region, specifically Frankfurt, Germany. US data residency is available on Enterprise plans but cannot be changed after account creation.","The provided text does not state where NexusPay data is stored by default, only that metadata is protected by NexusPay's standard data-at-rest encryption.","[""Store your internal user or customer ID on NexusPay customer and payment objects. This is especially useful when a customer uses multiple email addresses or payment methods across their lifetime."", ""```javascript\nimport NexusPay from \""@nexuspay/sdk\"";"", ""Card details (number, expiry, CVC) must never be sent to your own server. Instead, use the NexusPay.js library or mobile SDK to collect card data and exchange it for a single-use **payment token** directly from your customer's browser."", ""- Do not store sensitive data in metadata: no card numbers, passwords, SSNs, or authentication tokens.\n- Metadata is visible to anyone with access to your NexusPay Dashboard and to any system that calls the API with your secret key. Apply the same access controls you would to any business data.\n- Metadata is not end-to-end encrypted beyond NexusPay's standard data-at-rest encryption. Do not rely on it for data classification purposes."", ""1. **Your frontend** uses the NexusPay.js library (or mobile SDK) and your **publishable key** to collect card data directly in the customer's browser.\n2. Card data travels directly to NexusPay's PCI-compliant servers — it never touches your backend.\n3. NexusPay returns a short-lived, single-use **payment token** that contains no sensitive data.\n4. **Your backend** uses this token with your **secret key** to create a payment.""]",0.986,427,34,461,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00019079,0.6966,0.0
Q042,semantic,reference/endpoints.md; guides/subscriptions_guide.md; guides/testing_guide.md,How does proration work when upgrading a subscription?,"When calling POST /subscriptions/:id/upgrade, proration is calculated automatically by NexusPay.","When upgrading a subscription, proration is calculated automatically [1, 2]. Depending on the `proration_behavior` setting, the effect varies: `create_prorations` immediately charges or credits the prorated difference, while `none` means the plan changes at the next billing period with no immediate charge [5].","[""### POST /subscriptions/:id/upgrade\nUpgrade or downgrade a subscription plan. Proration is calculated automatically."", ""To change a subscription's plan, update the `plan_id`. NexusPay calculates proration automatically."", ""Attach the customer to a plan to start a subscription. Optionally include a trial period."", ""To simulate a renewal failure, ensure the subscription's customer has the decline card `4000 0000 0000 0002` as their default payment method before advancing."", ""| `proration_behavior` | Effect |\n|----------------------|--------|\n| `create_prorations` | Immediately charges or credits the prorated difference |\n| `none` | Plan changes at next billing period with no immediate charge |""]",1.764,283,68,351,BAAI/bge-m3,QuantTrio/gemma-4-31B-it-AWQ,0.00034133,0.6966,0.0
